number ,AphidMummy,field,plot ,tube ,fertilization,parasitoid,endosymbiont,Mdir,Save,Rpad,Hden,Rins,EPpla,APrho,APuzb,APerv,APave,PRvol,PRgal,AEabd,ALvic,ASsus,ASvul,COcla,PHvil,DEcar
3287,aph,H,5,1,no,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3186,mum,H,3,1,no,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3767,aph,L,2,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4185,aph,L,5,1,no,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3061,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3317,mum,H,1,1,no,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3322,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3779,mum,L,2,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4318,mum,L,6,1,yes,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4319,mum,L,6,1,yes,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3064,mum,H,1,1,no,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3242,mum,H,5,1,no,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3244,mum,H,5,1,no,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3065,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3068,mum,H,1,1,no,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3105,mum,H,1,1,no,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3191,mum,H,3,1,no,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3312,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3314,mum,H,1,1,no,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3320,mum,H,1,1,no,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3321,mum,H,1,1,no,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3325,mum,H,1,1,no,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3363,mum,H,4,1,yes,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3364,mum,H,4,1,yes,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3365,mum,H,4,1,yes,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3656,aph,L,4,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3665,mum,L,4,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3666,mum,L,4,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3667,mum,L,4,1,yes,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3756,mum,L,2,1,yes,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3757,mum,L,2,1,yes,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3760,mum,L,2,1,yes,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3761,mum,L,2,1,yes,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3762,mum,L,2,1,yes,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
3780,mum,L,2,1,yes,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3833,mum,L,1,1,no,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3883,mum,L,1,1,no,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3885,mum,L,1,1,no,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3886,mum,L,1,1,no,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
3887,mum,L,1,1,no,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
3888,mum,L,1,1,no,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3891,mum,L,1,1,no,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3938,mum,L,6,1,yes,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3939,mum,L,6,1,yes,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3941,mum,L,6,1,yes,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4002,mum,L,6,1,yes,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4081,mum,L,3,1,no,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4082,mum,L,3,1,no,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4084,mum,L,3,1,no,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4085,mum,L,3,1,no,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4267,mum,L,5,1,no,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4268,mum,L,5,1,no,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4269,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4271,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4272,mum,L,5,1,no,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4273,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4274,mum,L,5,1,no,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4275,mum,L,5,1,no,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
